name,details,ratings,reviews_count,positive_feedbacks,negetive_feedbacks
Quess,IT Services & Consulting | Bangalore / Bengaluru +708 other locations,3.8,8.9k,,Promotions / Appraisal | Job Security
Startek,BPO | Bangalore / Bengaluru +102 other locations,3.1,8.9k,,Promotions / Appraisal | Salary & Benefits | Company Culture
Asian Paints,Chemicals | Mumbai +531 other locations,3.9,8.7k,Salary & Benefits | Skill Development / Learning,Promotions / Appraisal | Work Life Balance
Paytm,FinTech | Noida +400 other locations,3.2,8.7k,,Job Security | Promotions / Appraisal | Company Culture
UltraTech Cement,Building Material | Mumbai +525 other locations,4.1,8.6k,Job Security | Skill Development / Learning | Company Culture,
Shriram Finance,NBFC | Chennai +1080 other locations,4.0,8.5k,Job Security | Company Culture | Work Life Balance,Promotions / Appraisal
Maruti Suzuki,Automobile | Gurgaon / Gurugram +433 other locations,4.2,8.4k,Job Security | Salary & Benefits | Company Culture,
Bajaj Finance,NBFC | Pune +928 other locations,3.9,8.3k,Salary & Benefits | Skill Development / Learning | Job Security,
Sutherland Global Services,BPO | Chennai +75 other locations,3.4,8.2k,,Promotions / Appraisal | Work Satisfaction | Skill Development / Learning
EXL Service,IT Services & Consulting | Noida +60 other locations,3.6,8.1k,Job Security,Promotions / Appraisal | Salary & Benefits | Skill Development / Learning
Samsung,Consumer Electronics & Appliances | Noida +565 other locations,3.9,8.1k,Salary & Benefits,Promotions / Appraisal
Ericsson,Telecom | Bangalore / Bengaluru +161 other locations,4.0,8.1k,Company Culture | Work Life Balance,Promotions / Appraisal
Cipla,Pharma | Mumbai +285 other locations,4.1,8k,Salary & Benefits | Work Life Balance | Skill Development / Learning,
Wells Fargo,Financial Services | Bangalore / Bengaluru +28 other locations,3.7,7.8k,Work Life Balance,Promotions / Appraisal | Skill Development / Learning | Work Satisfaction
Dr. Reddy's,Pharma | Hyderabad / Secunderabad +208 other locations,4.0,7.7k,Skill Development / Learning | Work Life Balance | Salary & Benefits,Promotions / Appraisal
HGS,BPO | Bangalore / Bengaluru +119 other locations,3.8,7.4k,Job Security,Promotions / Appraisal | Salary & Benefits
Optum Global Solutions,IT Services & Consulting | Hyderabad / Secunderabad +63 other locations,4.0,7.4k,Job Security | Company Culture | Work Life Balance,Promotions / Appraisal | Salary & Benefits
ICICI Prudential Life Insurance,Insurance | Mumbai +499 other locations,4.0,7.3k,Job Security | Skill Development / Learning | Salary & Benefits,
Amazon Development Centre India,Internet | Hyderabad / Secunderabad +146 other locations,3.9,7.2k,Company Culture | Work Life Balance,Promotions / Appraisal
Delhivery,Logistics | Gurgaon / Gurugram +727 other locations,3.8,7.2k,,Promotions / Appraisal
