name,details,ratings,reviews_count,positive_feedbacks,negetive_feedbacks
Karvy DigiKonnect,Financial Services | Hyderabad / Secunderabad +20 other locations,3.1,400,,Salary & Benefits | Job Security | Promotions / Appraisal
Larsen & Toubro Group,Engineering & Construction | Chennai +73 other locations,4.1,400,Job Security | Skill Development / Learning | Company Culture,
Tata Steel Utilities and Infrastructure Services,Engineering & Construction | Jamshedpur +18 other locations,3.7,401,Work Life Balance | Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Tata BlueScope Steel,Iron & Steel | Jamshedpur +37 other locations,3.6,400,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Rapido,Internet | Bangalore / Bengaluru +56 other locations,3.5,400,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Bengal Beverages,Beverage | Kolkata +13 other locations,3.0,401,,Company Culture | Promotions / Appraisal | Work Satisfaction
Agro Tech Foods,FMCG | Hyderabad / Secunderabad +77 other locations,3.9,400,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
PC Jewellers,Metals & Mining | New Delhi +72 other locations,3.9,400,Work Life Balance | Work Satisfaction | Job Security,Promotions / Appraisal
Orion Innovation,IT Services & Consulting | Chennai +12 other locations,3.4,400,,Promotions / Appraisal | Company Culture | Work Satisfaction
Purplle.com,Beauty & Personal Care | Mumbai +32 other locations,3.6,400,,Promotions / Appraisal | Work Satisfaction | Job Security
Falcon Autotech,Industrial Automation | Noida +16 other locations,3.9,400,Job Security,Promotions / Appraisal
Infinity Learn,EdTech | Hyderabad / Secunderabad +17 other locations,3.8,399,Salary & Benefits | Skill Development / Learning,
Honour Lab,Pharma | Hyderabad / Secunderabad +18 other locations,3.9,399,Job Security,Promotions / Appraisal
Uniparts Group,Industrial Machinery | Noida +13 other locations,3.6,399,,Promotions / Appraisal | Job Security | Company Culture
Aramex,Logistics | Mumbai +52 other locations,3.3,399,,Promotions / Appraisal | Work Satisfaction | Company Culture
Zscaler Softech,Software Product | Bangalore / Bengaluru +13 other locations,3.3,399,,Job Security | Promotions / Appraisal | Work Satisfaction
NOON.COM,Internet | Gurgaon / Gurugram +24 other locations,3.4,400,,Promotions / Appraisal | Job Security | Skill Development / Learning
DataMetica,IT Services & Consulting | Pune +6 other locations,3.2,400,,Promotions / Appraisal | Work Life Balance | Company Culture
A. O. Smith India Water Products Private Limited,Consumer Electronics & Appliances | Bangalore / Bengaluru +50 other locations,3.8,399,Salary & Benefits | Work Life Balance,Promotions / Appraisal
Ami Lifesciences,Pharma | Vadodara +10 other locations,3.9,399,Salary & Benefits | Job Security,
Titagarh Rail Systems,Railways | Kolkata +18 other locations,2.8,400,,Promotions / Appraisal | Company Culture | Work Life Balance
Dow Chemical International Private Limited,Chemicals | Chennai +15 other locations,3.8,400,Work Life Balance | Salary & Benefits,Promotions / Appraisal | Job Security
Penna Cement Industries,Building Material | Hyderabad / Secunderabad +47 other locations,4.1,399,Job Security | Work Life Balance | Work Satisfaction,Promotions / Appraisal
Ingersoll Rand,Industrial Machinery | Bangalore / Bengaluru +29 other locations,3.9,399,Work Life Balance,Promotions / Appraisal
Roop Automotives,Auto Components | Gurgaon / Gurugram +13 other locations,4.2,398,Company Culture | Work Life Balance | Work Satisfaction,
Godrej Jersey,Hyderabad / Secunderabad +39 other locations,4.1,398,Work Life Balance | Company Culture | Job Security,
Tagros Chemicals,Agro Chemicals | Cuddalore +12 other locations,3.5,397,,Promotions / Appraisal | Company Culture | Job Security
Global Indian International School,Education & Training | Noida +23 other locations,4.1,397,Job Security | Company Culture | Work Life Balance,
Mazagon Dock,Ports & Shipping | Mumbai +10 other locations,4.4,397,Company Culture | Work Life Balance | Work Satisfaction,
e2open,Software Product | Bangalore / Bengaluru +15 other locations,3.5,397,Work Life Balance,Promotions / Appraisal | Skill Development / Learning | Salary & Benefits
FM LOGISTIC,Logistics | Pune +35 other locations,3.9,398,Work Life Balance | Job Security | Skill Development / Learning,Promotions / Appraisal
Fossil Group,Fashion & Textile | Bangalore / Bengaluru +37 other locations,3.8,398,Work Life Balance,Promotions / Appraisal
Schoolnet India,EdTech | Mumbai +88 other locations,4.0,397,Work Life Balance | Company Culture | Skill Development / Learning,Promotions / Appraisal
Nous Infosystems,IT Services & Consulting | Bangalore / Bengaluru +8 other locations,3.7,397,Work Life Balance,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Pocket FM,Media & Entertainment | Bangalore / Bengaluru +16 other locations,2.6,396,,Job Security | Promotions / Appraisal | Company Culture
Midland Microfin Limited,NBFC | Jalandhar +114 other locations,3.5,396,,Salary & Benefits | Company Culture | Work Satisfaction
Comcast,Telecom | Chennai +12 other locations,4.0,396,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
Groupon,Internet | Chennai +10 other locations,3.2,397,,Job Security | Promotions / Appraisal | Skill Development / Learning
Pearson Education India,Education & Training | Bangalore / Bengaluru +57 other locations,3.9,396,Work Life Balance | Company Culture,Promotions / Appraisal
Premium Transmission,Industrial Machinery | Pune +15 other locations,3.3,396,,Promotions / Appraisal | Company Culture | Work Satisfaction
Birla White,Building Material | Jodhpur +104 other locations,4.3,396,Job Security | Company Culture | Work Life Balance,
Ozone Overseas,Architecture & Interior Design | New Delhi +56 other locations,3.9,396,,Job Security | Promotions / Appraisal
Dun & Bradstreet,Analytics & KPO | Mumbai +16 other locations,3.2,397,,Promotions / Appraisal | Work Satisfaction | Job Security
Hexagon Nutrition,Food Processing | Mumbai +31 other locations,4.0,396,Work Life Balance | Company Culture | Skill Development / Learning,
OnePlus,Consumer Electronics & Appliances | Bangalore / Bengaluru +56 other locations,3.8,396,,Promotions / Appraisal
Qwik Supply Chain,Mumbai +139 other locations,3.7,395,,Promotions / Appraisal
The Indian Hotels Company,Hospitality | Mumbai +51 other locations,4.2,396,Job Security | Company Culture | Skill Development / Learning,Promotions / Appraisal
Scientific Publishing Services,Analytics & KPO | Chennai +7 other locations,3.7,395,Job Security,Promotions / Appraisal | Salary & Benefits | Skill Development / Learning
Neilsoft,Engineering & Construction | Pune +11 other locations,3.5,395,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Ess Kay Fincorp,NBFC | Jaipur +109 other locations,4.0,395,Company Culture | Work Life Balance | Work Satisfaction,
Roca Bathroom Products,Building Material | Chennai +59 other locations,3.8,396,,Promotions / Appraisal | Company Culture | Work Satisfaction
Novartis Healthcare,Pharma | Hyderabad / Secunderabad +26 other locations,4.1,396,Company Culture | Work Life Balance | Salary & Benefits,Promotions / Appraisal
L&T Heavy Engineering,Surat +25 other locations,3.9,395,Job Security | Skill Development / Learning,Promotions / Appraisal | Work Life Balance | Salary & Benefits
Echobooom Management & Entrepreneurial Solutions,Marketing & Advertising | Mumbai +19 other locations,3.6,395,Skill Development / Learning | Company Culture,Salary & Benefits
Oda Class,EdTech | Bangalore / Bengaluru +7 other locations,3.1,394,,Job Security | Work Life Balance | Work Satisfaction
Flipkart Wholesale,Bangalore / Bengaluru +57 other locations,3.8,394,,Promotions / Appraisal
Freecharge,FinTech | Gurgaon / Gurugram +54 other locations,3.8,394,Work Life Balance,Promotions / Appraisal | Salary & Benefits
Kiswok Industries,Iron & Steel | Kolkata +6 other locations,3.3,394,,Promotions / Appraisal | Company Culture | Salary & Benefits
Asian Granito India,Building Material | Ahmedabad +68 other locations,3.6,394,,Promotions / Appraisal | Skill Development / Learning | Work Satisfaction
Virchow Biotech,Pharma | Hyderabad / Secunderabad +12 other locations,3.4,394,,Promotions / Appraisal | Job Security | Salary & Benefits
Win Medicare,Pharma | New Delhi +59 other locations,4.1,394,Work Life Balance | Job Security | Skill Development / Learning,
Flatworld Solutions,BPO | Bangalore / Bengaluru +8 other locations,3.4,394,,Promotions / Appraisal | Skill Development / Learning | Salary & Benefits
Apex Laboratories,Pharma | Chennai +61 other locations,3.8,393,Work Life Balance | Job Security,Promotions / Appraisal | Salary & Benefits | Skill Development / Learning
TresVista,Financial Services | Pune +11 other locations,2.6,393,,Work Life Balance | Work Satisfaction | Company Culture
Mediamint,Marketing & Advertising | Hyderabad / Secunderabad +8 other locations,3.2,395,,Work Satisfaction | Promotions / Appraisal | Salary & Benefits
Freyr Solutions,Legal | Hyderabad / Secunderabad +7 other locations,3.7,393,Work Life Balance,Promotions / Appraisal | Skill Development / Learning | Work Satisfaction
InfoBeans,IT Services & Consulting | Indore +7 other locations,3.4,393,,Promotions / Appraisal | Job Security | Skill Development / Learning
Bonfiglioli Transmissions Limited,Industrial Machinery | Chennai +23 other locations,3.6,393,,Work Life Balance | Promotions / Appraisal | Company Culture
FCm Travel Solutions,Travel & Tourism | New Delhi +23 other locations,3.1,392,,Promotions / Appraisal | Job Security | Skill Development / Learning
Oberoi Realty,Real Estate | Mumbai +11 other locations,4.2,393,Work Life Balance | Company Culture | Salary & Benefits,
RCM,Retail | Bhilwara +45 other locations,4.1,392,Company Culture | Work Life Balance | Work Satisfaction,
FCm Travel Solutions,Travel & Tourism | New Delhi +23 other locations,3.1,392,,Promotions / Appraisal | Job Security | Skill Development / Learning
Amri Hospital,Healthcare | Kolkata +11 other locations,4.0,392,Work Life Balance | Job Security | Skill Development / Learning,Promotions / Appraisal
Mungi Group,Auto Components | Pune +12 other locations,3.9,392,Skill Development / Learning,
RCM,Retail | Bhilwara +45 other locations,4.1,392,Company Culture | Work Life Balance | Work Satisfaction,
Nexteer Automotive,Auto Components | Bangalore / Bengaluru +10 other locations,3.8,392,,Promotions / Appraisal
GE Vernova T&D India,Power | Chennai +38 other locations,4.1,392,Company Culture | Work Life Balance | Work Satisfaction,Promotions / Appraisal
Konexions Back Office Services,BPO | New Delhi +18 other locations,2.8,392,,Promotions / Appraisal | Company Culture | Job Security
IB Group,Food Processing | Rajnandgaon +77 other locations,3.8,391,,Promotions / Appraisal | Company Culture | Work Satisfaction
IMS People,Recruitment | Ahmedabad +25 other locations,3.5,391,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Varindera Constructions,Engineering & Construction | New Delhi +19 other locations,4.5,394,Salary & Benefits | Company Culture | Work Satisfaction,
NeoGrowth Credit,NBFC | Mumbai +31 other locations,3.2,391,,Company Culture | Work Life Balance | Work Satisfaction
Fortis Escorts Hospital,Healthcare | New Delhi +16 other locations,4.1,390,Skill Development / Learning | Work Life Balance | Job Security,
Hiranandani Financial Services,NBFC | Mumbai +86 other locations,3.9,390,Company Culture | Work Life Balance | Job Security,
Knack Global,IT Services & Consulting | Jaipur +11 other locations,3.1,390,,Work Satisfaction | Company Culture | Work Life Balance
TCL,Consumer Electronics & Appliances | Pune +48 other locations,4.0,391,Company Culture | Work Life Balance | Work Satisfaction,Promotions / Appraisal
ANR Software Private Limited,IT Services & Consulting | Noida +5 other locations,4.2,390,Job Security | Skill Development / Learning | Company Culture,
ICFAI University,Education & Training | Hyderabad / Secunderabad +56 other locations,3.6,392,,Promotions / Appraisal | Work Satisfaction | Skill Development / Learning
Infovision,IT Services & Consulting | Pune +11 other locations,3.5,390,,Job Security | Promotions / Appraisal | Skill Development / Learning
Chambal Fertilisers And Chemicals,Agro Chemicals | Kota +51 other locations,3.9,390,Job Security | Salary & Benefits | Skill Development / Learning,Promotions / Appraisal | Company Culture | Work Life Balance
CogentHubCX.AI,BPO | Kolkata +8 other locations,3.4,390,,Promotions / Appraisal | Company Culture | Job Security
PC Solutions,IT Services & Consulting | New Delhi +17 other locations,3.9,390,Work Life Balance | Job Security | Skill Development / Learning,
Cipla Health,Pharma | Mumbai +82 other locations,4.1,389,Salary & Benefits | Company Culture | Work Life Balance,
Greet Technologies,BPO | Bangalore / Bengaluru +7 other locations,2.7,389,,Salary & Benefits | Promotions / Appraisal | Company Culture
LKQ INDIA,IT Services & Consulting | Bangalore / Bengaluru +3 other locations,3.5,389,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal | Salary & Benefits | Skill Development / Learning
Zealous Services,Design | Chennai +8 other locations,2.9,389,,Salary & Benefits | Job Security | Promotions / Appraisal
Unified Mentor,Bangalore / Bengaluru +38 other locations,4.0,390,Work Life Balance | Skill Development / Learning | Work Satisfaction,Salary & Benefits
Saama Technologies,IT Services & Consulting | Pune +7 other locations,3.7,389,,Promotions / Appraisal | Job Security
Capital Trust,NBFC | New Delhi +115 other locations,3.3,389,,Job Security | Company Culture | Work Life Balance
Theobroma Foods,Food Processing | Mumbai +31 other locations,3.9,388,,Promotions / Appraisal
Aka Logistics,Logistics | Kolkata +39 other locations,3.3,388,,Promotions / Appraisal | Company Culture | Job Security
JBS Enterprises,Electronics Manufacturing | Mumbai +66 other locations,3.1,388,,Salary & Benefits | Promotions / Appraisal | Company Culture
PGP Glass,Packaging | Vadodara +15 other locations,4.0,388,Job Security | Work Life Balance | Company Culture,Promotions / Appraisal
Enterprise Growth Accelerator,Faridabad +9 other locations,3.5,387,,Job Security | Promotions / Appraisal | Skill Development / Learning
National Fertilizers,Agro Chemicals | Panipat +33 other locations,4.4,387,Job Security | Work Life Balance | Company Culture,
Broadcom,Semiconductors | Hyderabad / Secunderabad +13 other locations,3.3,387,Salary & Benefits,Job Security | Promotions / Appraisal | Company Culture
Ensono,IT Services & Consulting | Pune +10 other locations,4.2,387,Company Culture | Work Life Balance | Job Security,
Venus Remedies,Pharma | Baddi +38 other locations,4.2,387,Salary & Benefits | Company Culture | Work Satisfaction,
YKK,Fashion & Textile | Rewari +24 other locations,3.8,387,Job Security | Work Life Balance,Promotions / Appraisal | Skill Development / Learning | Salary & Benefits
Onsitego,Internet | Mumbai +30 other locations,3.9,387,Salary & Benefits,Job Security | Promotions / Appraisal
MyMoneyMantra,Internet | New Delhi +25 other locations,3.2,387,,Promotions / Appraisal | Job Security | Salary & Benefits
Spice Money,FinTech | Noida +103 other locations,4.1,387,Company Culture | Work Life Balance | Work Satisfaction,
Realty Assistant,Real Estate | Noida +15 other locations,3.4,387,,Work Life Balance | Job Security | Work Satisfaction
Western Union,FinTech | Pune +18 other locations,3.2,387,,Promotions / Appraisal | Job Security | Work Satisfaction
Tessolve,Semiconductors | Bangalore / Bengaluru +12 other locations,3.5,386,,Promotions / Appraisal | Salary & Benefits | Company Culture
Bmm Ispat,Iron & Steel | Hosapete +12 other locations,3.9,386,Work Life Balance | Job Security,Promotions / Appraisal
Nettur Technical Training Foundation,Education & Training | Bangalore / Bengaluru +44 other locations,3.7,386,,Promotions / Appraisal | Salary & Benefits
Desun Hospital & Heart Institute,Healthcare | Kolkata +12 other locations,3.8,386,Skill Development / Learning,Promotions / Appraisal
Eversendai,Engineering & Construction | Chennai +18 other locations,3.7,387,Job Security,Promotions / Appraisal | Company Culture | Work Life Balance
Raptakos Brett and Company,Pharma | Mumbai +54 other locations,3.5,387,,Promotions / Appraisal | Skill Development / Learning | Work Satisfaction
Aculife Healthcare,Pharma | Ahmedabad +34 other locations,3.1,387,,Promotions / Appraisal | Salary & Benefits | Company Culture
Head Field Solutions,Recruitment | Noida +4 other locations,4.1,386,Work Life Balance | Company Culture | Skill Development / Learning,
Samsonite,Retail | Nashik +58 other locations,4.1,385,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
HealthKart,Internet | Gurgaon / Gurugram +38 other locations,3.9,385,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
Supertech,Real Estate | Noida +19 other locations,4.0,385,Work Life Balance | Company Culture | Work Satisfaction,Promotions / Appraisal
Metrochem Api,Pharma | Hyderabad / Secunderabad +11 other locations,3.0,385,,Promotions / Appraisal | Salary & Benefits | Company Culture
Citykart Retail,Retail | New Delhi +67 other locations,3.8,385,Salary & Benefits,Company Culture | Job Security
Sleek International,Furniture & Furnishing | Mumbai +83 other locations,3.5,385,,Promotions / Appraisal | Work Satisfaction | Salary & Benefits
Polestar Analytics,IT Services & Consulting | Noida +9 other locations,4.0,385,Skill Development / Learning | Company Culture | Work Life Balance,
Moolchand Hospital,Healthcare | New Delhi +10 other locations,4.2,385,Skill Development / Learning | Company Culture | Work Life Balance,
Pon Pure Chemical,Chemicals | Chennai +42 other locations,3.5,385,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Pon Pure Chemical,Chemicals | Chennai +42 other locations,3.5,385,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Orient Bell,Building Material | New Delhi +67 other locations,3.3,384,,Promotions / Appraisal | Company Culture | Work Satisfaction
Venkateshwara Hatcheries,Food Processing | Pune +55 other locations,3.8,384,Job Security,Promotions / Appraisal | Salary & Benefits | Skill Development / Learning
Samsung SDS,IT Services & Consulting | Gurgaon / Gurugram +20 other locations,3.1,384,,Skill Development / Learning | Work Satisfaction | Company Culture
Bonace Engineers,Recruitment | Mumbai +53 other locations,4.1,384,Salary & Benefits | Company Culture | Work Life Balance,Promotions / Appraisal
Uplers,Internet | Ahmedabad +12 other locations,3.9,384,Company Culture | Work Life Balance,Promotions / Appraisal
Systems Plus,IT Services & Consulting | Pune +11 other locations,4.2,383,Work Life Balance | Company Culture | Salary & Benefits,
Sunstone,Education & Training | Gurgaon / Gurugram +25 other locations,3.7,383,,Promotions / Appraisal | Job Security | Skill Development / Learning
GRT Jewellers,Jewellery | Chennai +36 other locations,4.1,384,Job Security | Salary & Benefits | Work Life Balance,
P.D. Hinduja National Hospital and Medical Research Centre,Healthcare | Mumbai +13 other locations,3.9,385,Work Life Balance | Job Security,Promotions / Appraisal
Baramati Agro,FMCG | Pune +46 other locations,3.8,383,,Promotions / Appraisal
Etech Global Services,BPO | Gandhinagar +11 other locations,3.7,382,,Promotions / Appraisal | Skill Development / Learning | Salary & Benefits
Munjal Showa,Auto Components | Gurgaon / Gurugram +12 other locations,3.2,382,,Promotions / Appraisal | Skill Development / Learning | Company Culture
myGate,Law Enforcement & Security | Bangalore / Bengaluru +20 other locations,3.1,382,,Job Security | Work Life Balance | Work Satisfaction
Indus Net Technologies,IT Services & Consulting | Kolkata +7 other locations,3.3,382,,Job Security | Promotions / Appraisal | Company Culture
Imarticus Learning,EdTech | Mumbai +23 other locations,4.1,382,Company Culture | Work Life Balance | Skill Development / Learning,
Federal Mogul Goetze,Auto Components | Bangalore / Bengaluru +32 other locations,4.1,382,Company Culture | Work Life Balance | Skill Development / Learning,Promotions / Appraisal
Welspun Flooring,Building Material | Hyderabad / Secunderabad +27 other locations,3.8,382,Skill Development / Learning | Job Security,Promotions / Appraisal
Kanpur Fertilizers & Chemicals,Agro Chemicals | Kanpur +33 other locations,3.6,382,,Promotions / Appraisal | Job Security | Salary & Benefits
Silver Touch Technologies,IT Services & Consulting | New Delhi +36 other locations,3.2,381,,Promotions / Appraisal | Salary & Benefits | Company Culture
Mann And Hummel Filter,Industrial Machinery | Bangalore / Bengaluru +20 other locations,3.8,381,Company Culture | Work Life Balance,Promotions / Appraisal | Salary & Benefits
American Axle & Manufacturing,Auto Components | Pune +11 other locations,4.3,381,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
Silver Touch Technologies,IT Services & Consulting | New Delhi +36 other locations,3.2,381,,Promotions / Appraisal | Salary & Benefits | Company Culture
Carrier Midea,Semiconductors | Pune +52 other locations,3.7,381,,Promotions / Appraisal | Job Security | Salary & Benefits
Dimension Data,IT Services & Consulting | Bangalore / Bengaluru +53 other locations,4.4,380,Work Life Balance | Company Culture | Work Satisfaction,
Tyger Capital,NBFC | Mumbai +111 other locations,4.0,382,Work Life Balance | Salary & Benefits | Company Culture,
Glaze Trading India,Retail | New Delhi +86 other locations,4.2,380,Company Culture | Work Satisfaction | Skill Development / Learning,
Buhler,Industrial Machinery | Bangalore / Bengaluru +28 other locations,3.9,381,Work Life Balance,Promotions / Appraisal | Salary & Benefits
Bank of Maharashtra,Banking | Pune +75 other locations,3.3,380,Job Security,Work Life Balance | Company Culture | Work Satisfaction
Indian Space Research Organisation,Defence & Aerospace | Bangalore / Bengaluru +32 other locations,4.6,380,Company Culture | Work Satisfaction | Work Life Balance,
MAYORA,FMCG | Hyderabad / Secunderabad +84 other locations,3.8,380,Salary & Benefits,Promotions / Appraisal | Work Satisfaction | Job Security
Bangalore International Airport,Aviation | Bangalore / Bengaluru +14 other locations,4.4,380,Job Security | Work Life Balance | Company Culture,
Arvind Fashions,Fashion & Textile | Bangalore / Bengaluru +56 other locations,3.7,381,,Promotions / Appraisal | Company Culture
Impact Guru,Internet | Mumbai +21 other locations,3.6,381,,Promotions / Appraisal | Work Life Balance | Work Satisfaction
SBI Capital Markets,Mumbai +113 other locations,3.6,379,,Promotions / Appraisal | Company Culture | Work Satisfaction
Himatsingka Seide,Fashion & Textile | Bangalore / Bengaluru +15 other locations,3.6,379,,Promotions / Appraisal | Company Culture | Work Satisfaction
Vidal Health Tpa,Insurance | Bangalore / Bengaluru +40 other locations,3.5,379,,Promotions / Appraisal | Salary & Benefits | Company Culture
Aizant Drug Research Solutions,Clinical Research | Hyderabad / Secunderabad +4 other locations,3.8,379,Skill Development / Learning | Company Culture | Work Life Balance,Promotions / Appraisal | Salary & Benefits
M Baazar,Retail | Kolkata +90 other locations,3.9,379,Work Life Balance | Job Security,Promotions / Appraisal | Salary & Benefits
HYT Engineering Company Pvt Ltd,Industrial Machinery | Pune +26 other locations,3.3,379,,Job Security | Promotions / Appraisal | Company Culture
ITC Limited - Paperboards Specialty Papers Division,Packaging | Bhadrachalam +18 other locations,3.9,379,Job Security | Skill Development / Learning | Company Culture,Promotions / Appraisal | Salary & Benefits
Triumphant Institute of Management Education,Education & Training | Hyderabad / Secunderabad +73 other locations,3.8,378,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
SML Isuzu,Automobile | Chandigarh +51 other locations,4.2,378,Work Life Balance | Job Security | Company Culture,
Vision India Services,Recruitment | Noida +97 other locations,3.9,378,Work Life Balance | Work Satisfaction | Skill Development / Learning,Job Security | Promotions / Appraisal
Shiprocket Private Limited,Internet | Gurgaon / Gurugram +13 other locations,3.4,379,,Promotions / Appraisal | Job Security | Work Satisfaction
Gtpl Hathway,Broadcasting | Ahmedabad +50 other locations,3.9,379,Work Life Balance | Job Security,Promotions / Appraisal
Tirumala Milk Products,Food Processing | Chennai +52 other locations,4.1,378,Company Culture | Skill Development / Learning | Salary & Benefits,
Acadecraft,EdTech | Noida +10 other locations,3.1,378,,Job Security | Company Culture | Promotions / Appraisal
Shyam Sel & Power,Industrial Machinery | Kolkata +25 other locations,3.9,378,Work Life Balance | Job Security,Promotions / Appraisal
Bharat Aluminium Company (BALCO),Metals & Mining | Korba +16 other locations,4.0,377,Skill Development / Learning | Salary & Benefits | Work Satisfaction,Promotions / Appraisal
Kcc Buildcon,Engineering & Construction | Gurgaon / Gurugram +55 other locations,3.9,378,Work Life Balance | Skill Development / Learning,Promotions / Appraisal
Indian Institute of Technology Gandhinagar,Education & Training | New Delhi +38 other locations,4.1,377,Skill Development / Learning | Work Life Balance | Work Satisfaction,
Hanon Systems,Auto Components | Chennai +20 other locations,4.0,377,Company Culture | Work Life Balance | Work Satisfaction,Promotions / Appraisal | Salary & Benefits
Clean Harbors,Waste Management | Hyderabad / Secunderabad +3 other locations,3.3,377,,Promotions / Appraisal | Company Culture | Skill Development / Learning
Alfanar,Electronics Manufacturing | Chennai +34 other locations,4.0,376,Work Life Balance | Job Security | Salary & Benefits,Promotions / Appraisal
Manhattan Associates,IT Services & Consulting | Bangalore / Bengaluru +5 other locations,3.5,376,Job Security,Skill Development / Learning | Work Satisfaction | Promotions / Appraisal
Moser Baer,Consumer Electronics & Appliances | Noida +12 other locations,3.8,376,Company Culture | Work Life Balance | Work Satisfaction,
Grey Orange,Software Product | Gurgaon / Gurugram +9 other locations,3.2,376,,Job Security | Promotions / Appraisal | Work Life Balance
Marksans Pharma,Pharma | Mumbai +21 other locations,3.4,377,,Promotions / Appraisal | Company Culture | Work Life Balance
Jyoti CNC Automation,Industrial Machinery | Rajkot +30 other locations,4.0,376,Job Security | Skill Development / Learning | Work Life Balance,Promotions / Appraisal
Connectwise India,IT Services & Consulting | Pune +9 other locations,3.5,375,,Promotions / Appraisal | Work Satisfaction | Job Security
STUDDS Accessories Limited,Auto Components | Faridabad +14 other locations,3.9,375,Salary & Benefits | Company Culture | Work Satisfaction,
Ipsos,Analytics & KPO | Mumbai +27 other locations,3.3,375,,Work Satisfaction | Promotions / Appraisal | Work Life Balance
XL Health,Healthcare | Bangalore / Bengaluru +6 other locations,4.2,375,Job Security | Company Culture | Skill Development / Learning,
Aeries Technology,IT Services & Consulting | Bangalore / Bengaluru +7 other locations,3.2,375,,Job Security | Promotions / Appraisal | Skill Development / Learning
Yutika Natural,Beauty & Personal Care | Indore +61 other locations,3.5,375,,Job Security | Promotions / Appraisal | Company Culture
PropTiger.com,Internet | Bangalore / Bengaluru +15 other locations,3.8,376,Salary & Benefits | Skill Development / Learning | Company Culture,Job Security
Kirloskar Toyota Textile Machinery,Industrial Machinery | Bangalore / Bengaluru +10 other locations,4.6,375,Company Culture | Work Life Balance | Job Security,
JUSTO Realfintech,Real Estate | Pune +12 other locations,4.5,374,Company Culture | Work Life Balance | Skill Development / Learning,
Hero Housing Finance,Financial Services | New Delhi +87 other locations,3.9,375,Company Culture | Work Life Balance | Skill Development / Learning,Promotions / Appraisal
BPTP,Real Estate | New Delhi +5 other locations,4.1,374,Company Culture | Work Life Balance | Job Security,
Indian Overseas Bank,Banking | Chennai +81 other locations,3.3,373,Job Security,Work Life Balance | Company Culture | Work Satisfaction
ABM Knowledgeware,IT Services & Consulting | Mumbai +40 other locations,3.7,373,,Promotions / Appraisal | Salary & Benefits | Company Culture
Sangeetha Mobile,Retail | Bangalore / Bengaluru +82 other locations,3.6,374,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Hajee A P Bava Construction,Engineering & Construction | Hyderabad / Secunderabad +61 other locations,3.7,374,,Promotions / Appraisal | Salary & Benefits | Company Culture
UCAL Fuel Systems,Auto Components | Chennai +18 other locations,3.8,373,,Promotions / Appraisal | Company Culture | Salary & Benefits
Avalara Technologies,Software Product | Pune +5 other locations,3.1,373,,Job Security | Promotions / Appraisal | Work Satisfaction
Accelya Solutions India Limited,IT Services & Consulting | Mumbai +11 other locations,3.4,374,,Promotions / Appraisal | Skill Development / Learning | Work Satisfaction
Nowfloats Technologies,Software Product | Hyderabad / Secunderabad +39 other locations,3.0,373,,Promotions / Appraisal | Job Security | Company Culture
Coronis Health,Analytics & KPO | Mohali +10 other locations,3.5,373,,Promotions / Appraisal | Skill Development / Learning | Job Security
SHARE Microfin,Financial Services | Hyderabad / Secunderabad +129 other locations,4.3,374,Company Culture | Work Life Balance | Work Satisfaction,
Cheil India,Marketing & Advertising | Gurgaon / Gurugram +22 other locations,2.8,373,,Promotions / Appraisal | Skill Development / Learning | Work Satisfaction
Vectus Industries,Petrochemicals | Noida +59 other locations,4.1,372,Work Life Balance | Company Culture | Work Satisfaction,
Akal Information Systems,IT Services & Consulting | New Delhi +47 other locations,4.1,373,Work Life Balance | Company Culture | Work Satisfaction,
AccorHotels,Hospitality | New Delhi +42 other locations,4.3,372,Job Security | Company Culture | Skill Development / Learning,
Xdbs,Marketing & Advertising | Pune +4 other locations,3.0,372,,Promotions / Appraisal | Skill Development / Learning | Salary & Benefits
Runwal Group,Real Estate | Mumbai +8 other locations,4.0,373,Work Life Balance | Job Security,Promotions / Appraisal
Heavy Engineering Industries & Shipbuilding,Engineering & Construction | Kuwait City +29 other locations,3.8,372,Salary & Benefits,Promotions / Appraisal
Nippon Koei India,Engineering & Construction | New Delhi +52 other locations,4.6,373,Work Life Balance | Company Culture | Work Satisfaction,
Lotte India Corporation,FMCG | Chennai +81 other locations,3.9,372,Work Life Balance,Promotions / Appraisal | Salary & Benefits
Gujarat Ambuja Exports,Agro Chemicals | Ahmedabad +32 other locations,3.5,372,,Promotions / Appraisal | Salary & Benefits | Company Culture
